Irish Horses Flat (2025 and 2024)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Onemoredance (Runs: 10 | 1st: 5 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 72900 | Place Money: 6175 | Total Prize Money: 79075)
My Mate Alfie (Runs: 10 | 1st: 4 | 2nd: 0 | 3rd: 4 | 4th: 1 | Win Money: 207000 | Place Money: 25000 | Total Prize Money: 232000)
Keke (GB) (Runs: 7 | 1st: 4 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 57600 | Place Money: 8980 | Total Prize Money: 66580)
Mutasarref (GB) (Runs: 7 | 1st: 4 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 111000 | Place Money: 56250 | Total Prize Money: 167250)
Mississippi River (Runs: 9 | 1st: 3 | 2nd: 3 | 3rd: 1 | 4th: 1 | Win Money: 32400 | Place Money: 43200 | Total Prize Money: 75600)
Ostraka (Runs: 9 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 59100 | Place Money: 4505 | Total Prize Money: 63605)
Shaool (Runs: 9 | 1st: 3 | 2nd: 2 | 3rd: 3 | 4th: 1 | Win Money: 129000 | Place Money: 14075 | Total Prize Money: 143075)
Dance Night Andday (Runs: 8 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 111000 | Place Money: 14000 | Total Prize Money: 125000)
Gazelle D'or (Runs: 8 | 1st: 3 | 2nd: 0 | 3rd: 2 | 4th: 1 | Win Money: 70800 | Place Money: 13800 | Total Prize Money: 84600)
Happy Pharoah (Runs: 8 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 114000 | Place Money: 9960 | Total Prize Money: 123960)
Pink Oxalis (Runs: 8 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 2 | Win Money: 88200 | Place Money: 4050 | Total Prize Money: 92250)
She's Quality (Runs: 8 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 51300 | Place Money: 15750 | Total Prize Money: 67050)
Norwalk Havoc (GB) (Runs: 7 | 1st: 3 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 46200 | Place Money: 35200 | Total Prize Money: 81400)
Rebel Diamond (Runs: 7 | 1st: 3 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 55200 | Place Money: 10100 | Total Prize Money: 65300)
Sigh No More (Runs: 7 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 62700 | Place Money: 3600 | Total Prize Money: 66300)
Star Harbour (Runs: 7 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 2 | Win Money: 80700 | Place Money: 16200 | Total Prize Money: 96900)
Barnavara (Runs: 6 | 1st: 3 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 195000 | Place Money: 12750 | Total Prize Money: 207750)
Composing (Runs: 6 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 120000 | Place Money: 120600 | Total Prize Money: 240600)
Hanalia (Runs: 6 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 163500 | Place Money: 21750 | Total Prize Money: 185250)
Dorset (Runs: 5 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 548000 | Place Money: 24000 | Total Prize Money: 572000)
Elana Osario (GB) (Runs: 5 | 1st: 3 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 60000 | Place Money: 5100 | Total Prize Money: 65100)
Hotazhell (GB) (Runs: 5 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 114000 | Place Money: 24900 | Total Prize Money: 138900)
Ipanema Queen (Runs: 5 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 73500 | Place Money: 11800 | Total Prize Money: 85300)
Zahrann (Runs: 5 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 14900 | Total Prize Money: 86900)
Bedtime Story (Runs: 4 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 112800 | Place Money: 12000 | Total Prize Money: 124800)
Faiyum (GB) (Runs: 4 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 58800 | Place Money: 14000 | Total Prize Money: 72800)
Goodie Two Shoes (Runs: 4 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 99000 | Place Money: 5000 | Total Prize Money: 104000)
Heavens Gate (Runs: 4 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 198000 | Place Money: 5000 | Total Prize Money: 203000)
Henri Matisse (Runs: 4 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 159000 | Place Money: 80000 | Total Prize Money: 239000)
Lady Iman (Runs: 4 | 1st: 3 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 87000 | Place Money: 24000 | Total Prize Money: 111000)
Babouche (GB) (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 253800 | Place Money: 0 | Total Prize Money: 253800)
Crystal Black (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 79500 | Place Money: 0 | Total Prize Money: 79500)
Delacroix (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 821000 | Place Money: 0 | Total Prize Money: 821000)
Kyprios (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 411000 | Place Money: 0 | Total Prize Money: 411000)
White Birch (GB) (Runs: 3 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 405000 | Place Money: 0 | Total Prize Money: 405000)
Big Gossey (Runs: 13 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 2 | Win Money: 72000 | Place Money: 26875 | Total Prize Money: 98875)
Shandy (Runs: 9 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 69000 | Place Money: 2950 | Total Prize Money: 71950)
Fleur De Chine (GB) (Runs: 8 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 117500 | Place Money: 15125 | Total Prize Money: 132625)
Howd'yadoit (Runs: 7 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 120800 | Place Money: 13750 | Total Prize Money: 134550)
Princess Child (FR) (Runs: 7 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 102000 | Place Money: 13500 | Total Prize Money: 115500)
Slieve Binnian (Runs: 7 | 1st: 2 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 120000 | Place Money: 12200 | Total Prize Money: 132200)
Arizona Blaze (GB) (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 2 | 4th: 1 | Win Money: 48000 | Place Money: 57375 | Total Prize Money: 105375)
Booyea (Runs: 6 | 1st: 2 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 71100 | Place Money: 4500 | Total Prize Money: 75600)
Copacabana Sands (Runs: 6 | 1st: 2 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 63000 | Place Money: 9700 | Total Prize Money: 72700)
