Delacroix — Rating (126) | Trainer (A.P.O'Brien)
Jan Brueghel — Rating (125) | Trainer (A.P.O'Brien)
Kyprios — Rating (122) | Trainer (A.P.O'Brien)
Ethical Diamond — Rating (121) | Trainer (W.P. Mullins)
Los Angeles — Rating (121) | Trainer (A.P.O'Brien)
Whirl — Rating (121) | Trainer (A.P.O'Brien)
Al Riffa (FR) — Rating (120) | Trainer (Joseph Patrick O'Brien)
Camille Pissarro — Rating (120) | Trainer (A.P.O'Brien)
Diego Velazquez — Rating (120) | Trainer (A.P.O'Brien)
Gstaad (GB) — Rating (119) | Trainer (A.P.O'Brien)
Lambourn — Rating (119) | Trainer (A.P.O'Brien)
Puerto Rico — Rating (119) | Trainer (A.P.O'Brien)
Henri Matisse — Rating (118) | Trainer (A.P.O'Brien)
Lake Victoria — Rating (118) | Trainer (A.P.O'Brien)
Alakazi (FR) — Rating (117) | Trainer (J.P. Murtagh)
Hotazhell (GB) — Rating (117) | Trainer (Mrs John Harrington)
Porta Fortuna — Rating (117) | Trainer (Donnacha Aidan O'Brien)
Scandinavia (USA) — Rating (117) | Trainer (A.P.O'Brien)
Tower Of London — Rating (117) | Trainer (Joseph Patrick O'Brien)
Hawk Mountain — Rating (116) | Trainer (A.P.O'Brien)
Illinois — Rating (116) | Trainer (A.P.O'Brien)
Action — Rating (115) | Trainer (A.P.O'Brien)
Precise — Rating (115) | Trainer (A.P.O'Brien)
Trinity College — Rating (115) | Trainer (A.P.O'Brien)
True Love — Rating (115) | Trainer (A.P.O'Brien)
Alcantor (FR) — Rating (114) | Trainer (Joseph Patrick O'Brien)
Carmers — Rating (114) | Trainer (P. Twomey)
Galen (GB) — Rating (114) | Trainer (Joseph Patrick O'Brien)
Power Blue — Rating (114) | Trainer (Robson De Aguiar)
Stay True — Rating (114) | Trainer (A.P.O'Brien)
Arizona Blaze (GB) — Rating (113) | Trainer (Adrian Murray)
Balantina — Rating (113) | Trainer (Donnacha Aidan O'Brien)
Cercene — Rating (113) | Trainer (Joseph G. Murphy)
Diamond Necklace — Rating (113) | Trainer (A.P.O'Brien)
Havana Anna (GB) — Rating (113) | Trainer (Donnacha Aidan O'Brien)
January — Rating (113) | Trainer (A.P.O'Brien)
