Irish Horses National Hunt (Jumps) (2025/2026 and 2024/2025)

Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Drumgill (Runs: 20 | 1st: 5 | 2nd: 1 | 3rd: 1 | 4th: 4 | Win Money: 40200 | Place Money: 11930 | Total Prize Money: 52130)
Rising Dust (Runs: 7 | 1st: 5 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 39300 | Place Money: 2500 | Total Prize Money: 41800)
Shecouldbeanything (Runs: 11 | 1st: 4 | 2nd: 2 | 3rd: 2 | 4th: 0 | Win Money: 46500 | Place Money: 33250 | Total Prize Money: 79750)
Bowensonfire (FR) (Runs: 10 | 1st: 4 | 2nd: 1 | 3rd: 3 | 4th: 1 | Win Money: 152700 | Place Money: 37100 | Total Prize Money: 189800)
May Call You Back (GB) (Runs: 9 | 1st: 4 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 25200 | Place Money: 9500 | Total Prize Money: 34700)
Cousin Kate (Runs: 8 | 1st: 4 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 85800 | Place Money: 3150 | Total Prize Money: 88950)
Solness (FR) (Runs: 8 | 1st: 4 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 199200 | Place Money: 46000 | Total Prize Money: 245200)
Flicker Of Hope (FR) (Runs: 7 | 1st: 4 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 83100 | Place Money: 10000 | Total Prize Money: 93100)
Hey Sunshine (Runs: 7 | 1st: 4 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 87300 | Place Money: 3300 | Total Prize Money: 90600)
Shadow Paddy (Runs: 6 | 1st: 4 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 40500 | Place Money: 1250 | Total Prize Money: 41750)
Western Fold (Runs: 6 | 1st: 4 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 255900 | Place Money: 46000 | Total Prize Money: 301900)
Aurora Vega (Runs: 5 | 1st: 4 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 93600 | Place Money: 0 | Total Prize Money: 93600)
Doctor Steinberg (Runs: 5 | 1st: 4 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 126000 | Place Money: 510 | Total Prize Money: 126510)
The Yellow Clay (Runs: 5 | 1st: 4 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 111900 | Place Money: 0 | Total Prize Money: 111900)
I'll Sort That (Runs: 4 | 1st: 4 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 96900 | Place Money: 0 | Total Prize Money: 96900)
Romeo Coolio (GB) (Runs: 4 | 1st: 4 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 207600 | Place Money: 0 | Total Prize Money: 207600)
Crowsatedappletart (Runs: 11 | 1st: 3 | 2nd: 2 | 3rd: 2 | 4th: 1 | Win Money: 42000 | Place Money: 8955 | Total Prize Money: 50955)
Gaucher (GB) (Runs: 10 | 1st: 3 | 2nd: 2 | 3rd: 0 | 4th: 4 | Win Money: 43500 | Place Money: 15150 | Total Prize Money: 58650)
Tir Og (Runs: 10 | 1st: 3 | 2nd: 3 | 3rd: 0 | 4th: 0 | Win Money: 25500 | Place Money: 9000 | Total Prize Money: 34500)
Ballykinlar (Runs: 8 | 1st: 3 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 27600 | Place Money: 11050 | Total Prize Money: 38650)
Cottesloe Sunshine (Runs: 8 | 1st: 3 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 49500 | Place Money: 3650 | Total Prize Money: 53150)
Kotkito Bello (FR) (Runs: 8 | 1st: 3 | 2nd: 0 | 3rd: 2 | 4th: 1 | Win Money: 27000 | Place Money: 7850 | Total Prize Money: 34850)
Custom Taylor (Runs: 7 | 1st: 3 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 43200 | Place Money: 8400 | Total Prize Money: 51600)
Carrigmoornaspruce (Runs: 6 | 1st: 3 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 45600 | Place Money: 18400 | Total Prize Money: 64000)
Gold Dancer (FR) (Runs: 6 | 1st: 3 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 48900 | Place Money: 38875 | Total Prize Money: 87775)
Thisistheway (Runs: 6 | 1st: 3 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 63900 | Place Money: 3600 | Total Prize Money: 67500)
Zanoosh (Runs: 6 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 48300 | Place Money: 1600 | Total Prize Money: 49900)
Champ Kiely (Runs: 5 | 1st: 3 | 2nd: 0 | 3rd: 1 | 4th: 1 | Win Money: 103500 | Place Money: 17500 | Total Prize Money: 121000)
Love Me Tender (FR) (Runs: 5 | 1st: 3 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 30000 | Place Money: 25000 | Total Prize Money: 55000)
Oscars Brother (Runs: 5 | 1st: 3 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 54300 | Place Money: 5100 | Total Prize Money: 59400)
