Teahupoo (FR) — Rating (164) | Trainer (Gordon Elliott)
Bob Olinger — Rating (163) | Trainer (Henry de Bromhead)
Ballyburn — Rating (160) | Trainer (W.P. Mullins)
Brighterdaysahead (FR) — Rating (160) | Trainer (Gordon Elliott)
Home By The Lee — Rating (159) | Trainer (Joseph Patrick O'Brien)
Lossiemouth (FR) — Rating (159) | Trainer (W.P. Mullins)
Irish Point (FR) — Rating (158) | Trainer (Gordon Elliott)
Hiddenvalley Lake — Rating (157) | Trainer (Henry de Bromhead)
Anzadam (FR) — Rating (156) | Trainer (W.P. Mullins)
Honesty Policy — Rating (156) | Trainer (Gordon Elliott)
William Munny — Rating (156) | Trainer (Barry Connell)
Saint Sam (FR) — Rating (155) | Trainer (W.P. Mullins)
The Yellow Clay — Rating (155) | Trainer (Gordon Elliott)
El Fabiolo (FR) — Rating (154) | Trainer (W.P. Mullins)
Wodhooh (FR) — Rating (154) | Trainer (Gordon Elliott)
Ndaawi (GB) — Rating (153) | Trainer (Gordon Elliott)
Poniros (GB) — Rating (153) | Trainer (W.P. Mullins)
Casheldale Lad — Rating (152) | Trainer (Gordon Elliott)
Hewick — Rating (152) | Trainer (John Joseph Hanlon)
Ballyadam — Rating (151) | Trainer (Henry de Bromhead)
Irancy (FR) — Rating (151) | Trainer (W.P. Mullins)
Rocky's Diamond — Rating (151) | Trainer (Declan Queally)
Gaucher (GB) — Rating (150) | Trainer (W.P. Mullins)
Maxxum — Rating (150) | Trainer (Gordon Elliott)
Mystical Power — Rating (150) | Trainer (W.P. Mullins)
Staffordshire Knot — Rating (149) | Trainer (Gordon Elliott)
Talk The Talk (FR) — Rating (149) | Trainer (Joseph Patrick O'Brien)
Bowensonfire (FR) — Rating (148) | Trainer (Gordon Elliott)
Buddy One — Rating (148) | Trainer (Paul John Gilligan)
Narciso Has (FR) — Rating (148) | Trainer (W.P. Mullins)
Ballyfad — Rating (147) | Trainer (Gordon Elliott)
Doctor Steinberg — Rating (147) | Trainer (W.P. Mullins)
Glen Kiln — Rating (147) | Trainer (David Harry Kelly)
Hello Neighbour — Rating (147) | Trainer (Gavin Cromwell)
Storm Heart (FR) — Rating (147) | Trainer (W.P. Mullins)
Better Days Ahead — Rating (146) | Trainer (Gordon Elliott)
Jesse Evans — Rating (146) | Trainer (Noel Meade)
Karbau (FR) — Rating (146) | Trainer (W.P. Mullins)
King Rasko Grey (FR) — Rating (146) | Trainer (W.P. Mullins)
Colonel Mustard (FR) — Rating (145) | Trainer (Mrs Lorna Fowler)
Skylight Hustle — Rating (145) | Trainer (Gordon Elliott)
Workahead — Rating (145) | Trainer (Henry de Bromhead)
Farren Glory — Rating (144) | Trainer (Gordon Elliott)
Puturhandstogether — Rating (144) | Trainer (Joseph Patrick O'Brien)
Enniskerry — Rating (143) | Trainer (Barry Connell)
Happy Jacky — Rating (143) | Trainer (Mark Fahey)
French Dynamite (FR) — Rating (142) | Trainer (E. McNamara)
I'll Sort That — Rating (142) | Trainer (Declan Queally)
Jetara — Rating (142) | Trainer (Mrs John Harrington)
King Of Kingsfield — Rating (142) | Trainer (Gordon Elliott)
Sunchart (GB) — Rating (142) | Trainer (Andrew Slattery)
Thedeviluno — Rating (141) | Trainer (Paul Nolan)
Winter Fog — Rating (141) | Trainer (W.P. Mullins)
Koktail Brut (FR) — Rating (140) | Trainer (Gordon Elliott)
Meet And Greet — Rating (140) | Trainer (Oliver McKiernan)
Smooth Tom — Rating (140) | Trainer (Andrew Slattery)
