Irish Jockeys Stats Flat (2024 and 2025)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

C.T. Keane (Runs: 685 | 1st: 103 | 2nd: 89 | 3rd: 87 | 4th: 69 | Win Money: 2149500 | Place Money: 1009870 | Total Prize Money: 3159370)
D. Browne McMonagle (Runs: 595 | 1st: 95 | 2nd: 73 | 3rd: 88 | 4th: 68 | Win Money: 1859600 | Place Money: 1300023 | Total Prize Money: 3159623)
W.J. Lee (Runs: 552 | 1st: 95 | 2nd: 60 | 3rd: 65 | 4th: 63 | Win Money: 1256700 | Place Money: 651545 | Total Prize Money: 1908245)
S. Foley (Runs: 615 | 1st: 68 | 2nd: 70 | 3rd: 58 | 4th: 79 | Win Money: 1242800 | Place Money: 743260 | Total Prize Money: 1986060)
B.M. Coen (Runs: 604 | 1st: 67 | 2nd: 64 | 3rd: 67 | 4th: 62 | Win Money: 1002600 | Place Money: 731320 | Total Prize Money: 1733920)
Ryan Moore (Runs: 166 | 1st: 64 | 2nd: 36 | 3rd: 25 | 4th: 7 | Win Money: 3138800 | Place Money: 1226175 | Total Prize Money: 4364975)
C.D. Hayes (Runs: 596 | 1st: 62 | 2nd: 48 | 3rd: 52 | 4th: 73 | Win Money: 886200 | Place Money: 840010 | Total Prize Money: 1726210)
W.M. Lordan (Runs: 325 | 1st: 59 | 2nd: 37 | 3rd: 34 | 4th: 25 | Win Money: 1014600 | Place Money: 455575 | Total Prize Money: 1470175)
R.P. Whelan (Runs: 495 | 1st: 55 | 2nd: 52 | 3rd: 48 | 4th: 56 | Win Money: 820300 | Place Money: 525190 | Total Prize Money: 1345490)
G.F. Carroll (Runs: 410 | 1st: 50 | 2nd: 56 | 3rd: 37 | 4th: 37 | Win Money: 660900 | Place Money: 604150 | Total Prize Money: 1265050)
J.M. Sheridan (Runs: 307 | 1st: 36 | 2nd: 10 | 3rd: 27 | 4th: 25 | Win Money: 338100 | Place Money: 173340 | Total Prize Money: 511440)
J.J.G. Ryan (Runs: 446 | 1st: 33 | 2nd: 33 | 3rd: 34 | 4th: 38 | Win Money: 310300 | Place Money: 238785 | Total Prize Money: 549085)
D.P. McDonogh (Runs: 371 | 1st: 33 | 2nd: 34 | 3rd: 44 | 4th: 36 | Win Money: 399600 | Place Money: 573165 | Total Prize Money: 972765)
M.W Hassett (Runs: 364 | 1st: 31 | 2nd: 37 | 3rd: 33 | 4th: 24 | Win Money: 440700 | Place Money: 232143 | Total Prize Money: 672843)
A. Caffrey (Runs: 309 | 1st: 31 | 2nd: 22 | 3rd: 22 | 4th: 30 | Win Money: 295500 | Place Money: 151640 | Total Prize Money: 447140)
J.A. Heffernan (Runs: 400 | 1st: 24 | 2nd: 26 | 3rd: 33 | 4th: 29 | Win Money: 314100 | Place Money: 315480 | Total Prize Money: 629580)
