Irish Jockeys Stats National Hunt (Jumps) (2024 and 2025 and 2026)

2025/2026
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

P. Townend (Runs: 293 | 1st: 108 | 2nd: 62 | 3rd: 27 | 4th: 23 | Win Money: 2511900 | Place Money: 678605 | Total Prize Money: 3190505)
J.W. Kennedy (Runs: 415 | 1st: 93 | 2nd: 63 | 3rd: 64 | 4th: 38 | Win Money: 1896000 | Place Money: 615055 | Total Prize Money: 2511055)
D.J. O'Keeffe (Runs: 556 | 1st: 82 | 2nd: 67 | 3rd: 68 | 4th: 58 | Win Money: 894900 | Place Money: 540270 | Total Prize Money: 1435170)
S. Ewing (Runs: 479 | 1st: 67 | 2nd: 54 | 3rd: 57 | 4th: 33 | Win Money: 1317000 | Place Money: 511175 | Total Prize Money: 1828175)
K.M. Donoghue (Runs: 459 | 1st: 63 | 2nd: 49 | 3rd: 55 | 4th: 51 | Win Money: 748800 | Place Money: 513090 | Total Prize Money: 1261890)
D.E. Mullins (Runs: 443 | 1st: 47 | 2nd: 43 | 3rd: 60 | 4th: 39 | Win Money: 800700 | Place Money: 488790 | Total Prize Money: 1289490)
M.P. Walsh (Runs: 252 | 1st: 47 | 2nd: 37 | 3rd: 22 | 4th: 31 | Win Money: 1059100 | Place Money: 594580 | Total Prize Money: 1653680)
D.J Gilligan (Runs: 350 | 1st: 42 | 2nd: 39 | 3rd: 33 | 4th: 35 | Win Money: 473700 | Place Money: 455765 | Total Prize Money: 929465)
S.W. Flanagan (Runs: 378 | 1st: 39 | 2nd: 33 | 3rd: 36 | 4th: 34 | Win Money: 541800 | Place Money: 288940 | Total Prize Money: 830740)
D. Meyler (Runs: 322 | 1st: 38 | 2nd: 48 | 3rd: 25 | 4th: 37 | Win Money: 348900 | Place Money: 368900 | Total Prize Money: 717800)
P.W. Mullins (Runs: 122 | 1st: 37 | 2nd: 16 | 3rd: 17 | 4th: 10 | Win Money: 263400 | Place Money: 219870 | Total Prize Money: 483270)
Rachael Blackmore (Runs: 264 | 1st: 32 | 2nd: 37 | 3rd: 33 | 4th: 36 | Win Money: 267900 | Place Money: 402895 | Total Prize Money: 670795)
P.T. Enright (Runs: 496 | 1st: 31 | 2nd: 36 | 3rd: 36 | 4th: 31 | Win Money: 308700 | Place Money: 218310 | Total Prize Money: 527010)
D. King (Runs: 311 | 1st: 31 | 2nd: 25 | 3rd: 33 | 4th: 24 | Win Money: 249000 | Place Money: 183260 | Total Prize Money: 432260)
S.F. O'Keeffe (Runs: 387 | 1st: 30 | 2nd: 26 | 3rd: 27 | 4th: 29 | Win Money: 376500 | Place Money: 261315 | Total Prize Money: 637815)
T. Power Roche (Runs: 264 | 1st: 29 | 2nd: 22 | 3rd: 23 | 4th: 24 | Win Money: 279300 | Place Money: 131320 | Total Prize Money: 410620)
J.P. Shinnick (Runs: 286 | 1st: 28 | 2nd: 18 | 3rd: 23 | 4th: 25 | Win Money: 241200 | Place Money: 110920 | Total Prize Money: 352120)
J.C. Gainford (Runs: 300 | 1st: 26 | 2nd: 26 | 3rd: 29 | 4th: 26 | Win Money: 218400 | Place Money: 248665 | Total Prize Money: 467065)
E. Staples (Runs: 254 | 1st: 26 | 2nd: 26 | 3rd: 19 | 4th: 21 | Win Money: 301500 | Place Money: 189890 | Total Prize Money: 491390)
C.M. Quirke (Runs: 289 | 1st: 25 | 2nd: 26 | 3rd: 26 | 4th: 24 | Win Money: 194700 | Place Money: 188260 | Total Prize Money: 382960)
J.J. Slevin (Runs: 243 | 1st: 25 | 2nd: 20 | 3rd: 23 | 4th: 35 | Win Money: 320100 | Place Money: 181125 | Total Prize Money: 501225)
A. Harvey (Runs: 262 | 1st: 24 | 2nd: 33 | 3rd: 15 | 4th: 22 | Win Money: 171300 | Place Money: 182005 | Total Prize Money: 353305)
B. Hayes (Runs: 213 | 1st: 24 | 2nd: 25 | 3rd: 16 | 4th: 20 | Win Money: 272700 | Place Money: 184220 | Total Prize Money: 456920)
