Irish Trainers Stats Flat (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

A.P.O'Brien (Runs: 495 | 1st: 131 | 2nd: 86 | 3rd: 68 | 4th: 53 | Win Money: 4336100 | Place Money: 2221870 | Total Prize Money: 6557970)
Joseph Patrick O'Brien (Runs: 683 | 1st: 89 | 2nd: 84 | 3rd: 104 | 4th: 80 | Win Money: 2022200 | Place Money: 1424880 | Total Prize Money: 3447080)
G.M.Lyons (Runs: 306 | 1st: 62 | 2nd: 47 | 3rd: 30 | 4th: 31 | Win Money: 1180500 | Place Money: 521430 | Total Prize Money: 1701930)
Mrs John Harrington (Runs: 521 | 1st: 58 | 2nd: 62 | 3rd: 50 | 4th: 68 | Win Money: 1192700 | Place Money: 725615 | Total Prize Money: 1918315)
J.P. Murtagh (Runs: 389 | 1st: 45 | 2nd: 58 | 3rd: 48 | 4th: 35 | Win Money: 564300 | Place Money: 493530 | Total Prize Money: 1057830)
Adrian McGuinness (Runs: 388 | 1st: 35 | 2nd: 21 | 3rd: 32 | 4th: 36 | Win Money: 336300 | Place Money: 231380 | Total Prize Money: 567680)
Gavin Cromwell (Runs: 264 | 1st: 26 | 2nd: 24 | 3rd: 18 | 4th: 23 | Win Money: 205200 | Place Money: 313650 | Total Prize Money: 518850)
Andrew Slattery (Runs: 285 | 1st: 26 | 2nd: 26 | 3rd: 22 | 4th: 21 | Win Money: 263700 | Place Money: 189920 | Total Prize Money: 453620)
D. K. Weld (Runs: 240 | 1st: 24 | 2nd: 18 | 3rd: 35 | 4th: 28 | Win Money: 398700 | Place Money: 276885 | Total Prize Money: 675585)
W. McCreery (Runs: 227 | 1st: 20 | 2nd: 19 | 3rd: 25 | 4th: 34 | Win Money: 304500 | Place Money: 172350 | Total Prize Money: 476850)
P. Twomey (Runs: 89 | 1st: 19 | 2nd: 21 | 3rd: 10 | 4th: 7 | Win Money: 288000 | Place Money: 405730 | Total Prize Money: 693730)
