Irish Trainers Flat


Denis Gerard Hogan — Runs (152) | 1st (15) | 2nd (12) | 3rd (11) | 4th (15) | Win Money (€103,200) | Place Money (€57,615) | Total Prize Money (€160,815)

Joseph Patrick O'Brien — Runs (91) | 1st (16) | 2nd (9) | 3rd (9) | 4th (3) | Win Money (€110,100) | Place Money (€42,240) | Total Prize Money (€152,340)

Stephen Thorne — Runs (43) | 1st (13) | 2nd (1) | 3rd (6) | 4th (6) | Win Money (€121,800) | Place Money (€21,390) | Total Prize Money (€143,190)

Robson De Aguiar — Runs (33) | 1st (8) | 2nd (7) | 3rd (2) | 4th (7) | Win Money (€72,000) | Place Money (€37,330) | Total Prize Money (€109,330)

David Marnane — Runs (32) | 1st (5) | 2nd (3) | 3rd (5) | 4th (1) | Win Money (€78,000) | Place Money (€16,045) | Total Prize Money (€94,045)

G.M.Lyons — Runs (24) | 1st (3) | 2nd (7) | 3rd (4) | 4th (2) | Win Money (€27,600) | Place Money (€38,480) | Total Prize Money (€66,080)

Daniel James Murphy — Runs (35) | 1st (4) | 2nd (9) | 3rd (2) | 4th (2) | Win Money (€36,000) | Place Money (€28,330) | Total Prize Money (€64,330)

Andrew Slattery — Runs (81) | 1st (5) | 2nd (7) | 3rd (7) | 4th (9) | Win Money (€27,900) | Place Money (€34,845) | Total Prize Money (€62,745)

Natalia Lupini — Runs (22) | 1st (5) | 2nd (2) | 3rd (2) | 4th (1) | Win Money (€37,800) | Place Money (€13,395) | Total Prize Money (€51,195)

Paul W. Flynn — Runs (30) | 1st (5) | 2nd (1) | 3rd (2) | 4th (5) | Win Money (€41,400) | Place Money (€8,560) | Total Prize Money (€49,960)

M.D. O'Callaghan — Runs (18) | 1st (3) | 2nd (4) | 3rd (1) | 4th (1) | Win Money (€34,800) | Place Money (€14,075) | Total Prize Money (€48,875)

Gavin Cromwell — Runs (50) | 1st (3) | 2nd (2) | 3rd (5) | 4th (6) | Win Money (€25,200) | Place Money (€19,495) | Total Prize Money (€44,695)

A. Oliver — Runs (31) | 1st (2) | 2nd (5) | 3rd (1) | 4th (4) | Win Money (€21,900) | Place Money (€17,890) | Total Prize Money (€39,790)

Ross O'Sullivan — Runs (27) | 1st (4) | 2nd (2) | 3rd (2) | 4th (2) | Win Money (€28,200) | Place Money (€8,690) | Total Prize Money (€36,890)

Mrs John Harrington — Runs (16) | 1st (3) | 2nd (3) | 3rd (2) | 4th (0) | Win Money (€24,000) | Place Money (€12,645) | Total Prize Money (€36,645)

Jack Foley — Runs (8) | 1st (3) | 2nd (0) | 3rd (1) | 4th (0) | Win Money (€31,800) | Place Money (€1,800) | Total Prize Money (€33,600)

Daniel McLoughlin — Runs (22) | 1st (2) | 2nd (4) | 3rd (3) | 4th (0) | Win Money (€16,200) | Place Money (€16,210) | Total Prize Money (€32,410)

