Irish Trainers Stats National Hunt (Jumps) (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Gordon Elliott (Runs: 957 | 1st: 157 | 2nd: 127 | 3rd: 133 | 4th: 100 | Win Money: 2896600 | Place Money: 1263390 | Total Prize Money: 4159990)
W.P. Mullins (Runs: 622 | 1st: 149 | 2nd: 108 | 3rd: 67 | 4th: 56 | Win Money: 2477100 | Place Money: 1225725 | Total Prize Money: 3702825)
Henry de Bromhead (Runs: 439 | 1st: 69 | 2nd: 52 | 3rd: 68 | 4th: 51 | Win Money: 837000 | Place Money: 499775 | Total Prize Money: 1336775)
Gavin Cromwell (Runs: 607 | 1st: 53 | 2nd: 70 | 3rd: 58 | 4th: 61 | Win Money: 538200 | Place Money: 510440 | Total Prize Money: 1048640)
P.J. Rothwell (Runs: 486 | 1st: 33 | 2nd: 31 | 3rd: 43 | 4th: 43 | Win Money: 283200 | Place Money: 204200 | Total Prize Money: 487400)
John C. McConnell (Runs: 218 | 1st: 23 | 2nd: 16 | 3rd: 22 | 4th: 14 | Win Money: 196200 | Place Money: 80935 | Total Prize Money: 277135)
Declan Queally (Runs: 141 | 1st: 22 | 2nd: 14 | 3rd: 11 | 4th: 13 | Win Money: 252600 | Place Money: 105275 | Total Prize Money: 357875)
John Patrick Ryan (Runs: 280 | 1st: 21 | 2nd: 28 | 3rd: 20 | 4th: 32 | Win Money: 197100 | Place Money: 187115 | Total Prize Money: 384215)
Joseph Patrick O'Brien (Runs: 124 | 1st: 20 | 2nd: 16 | 3rd: 17 | 4th: 20 | Win Money: 344100 | Place Money: 139865 | Total Prize Money: 483965)
E. McNamara (Runs: 186 | 1st: 20 | 2nd: 22 | 3rd: 25 | 4th: 8 | Win Money: 222300 | Place Money: 157480 | Total Prize Money: 379780)
Emmet Mullins (Runs: 138 | 1st: 20 | 2nd: 24 | 3rd: 14 | 4th: 18 | Win Money: 225300 | Place Money: 147340 | Total Prize Money: 372640)
