OMBUDSMAN (IRE) (Rank: 1 | Flat Rating: 128 | Year: 2021 | Sex: COLT | Sire: NIGHT OF THUNDER (IRE) | Dam: SYNDICATE (GB) | Trainer: John & Thady Gosden)
FIELD OF GOLD (IRE) (Rank: 2 | Flat Rating: 125 | Year: 2022 | Sex: COLT | Sire: KINGMAN (GB) | Dam: PRINCESS DE LUNE (IRE) | Trainer: John & Thady Gosden)
ECONOMICS (GB) (Rank: 3 | Flat Rating: 123 | Year: 2021 | Sex: COLT | Sire: NIGHT OF THUNDER (IRE) | Dam: LA POMME D'AMOUR (GB) | Trainer: )
ALMAQAM (GB) (Rank: 4 | Flat Rating: 122 | Year: 2021 | Sex: COLT | Sire: LOPE DE VEGA (IRE) | Dam: TALMADA (USA) | Trainer: Ed Walker)
NOTABLE SPEECH (GB) (Rank: 5 | Flat Rating: 122 | Year: 2021 | Sex: COLT | Sire: DUBAWI (IRE) | Dam: SWIFT ROSE (IRE) | Trainer: Charlie Appleby)
REBEL'S ROMANCE (IRE) (Rank: 6 | Flat Rating: 122 | Year: 2018 | Sex: GELDING | Sire: DUBAWI (IRE) | Dam: MINIDRESS (GB) | Trainer: Charlie Appleby)
GEWAN (GB) (Rank: 7 | Flat Rating: 121 | Year: 2023 | Sex: COLT | Sire: NIGHT OF THUNDER (IRE) | Dam: GREY MYSTERE (GB) | Trainer: Andrew Balding)
TRAWLERMAN (IRE) (Rank: 8 | Flat Rating: 121 | Year: 2018 | Sex: GELDING | Sire: GOLDEN HORN (GB) | Dam: TIDESPRING (IRE) | Trainer: John & Thady Gosden)
KALPANA (GB) (Rank: 9 | Flat Rating: 120 | Year: 2021 | Sex: FILLY | Sire: STUDY OF MAN (IRE) | Dam: ZERO GRAVITY (GB) | Trainer: Andrew Balding)
ZEUS OLYMPIOS (GB) (Rank: 10 | Flat Rating: 120 | Year: 2022 | Sex: COLT | Sire: NIGHT OF THUNDER (IRE) | Dam: RHEA (GB) | Trainer: K. R. Burke)
CICERO'S GIFT (GB) (Rank: 11 | Flat Rating: 119 | Year: 2020 | Sex: GELDING | Sire: MUHAARAR (GB) | Dam: TERENTIA (GB) | Trainer: Charles Hills)
DANCING GEMINI (IRE) (Rank: 12 | Flat Rating: 118 | Year: 2021 | Sex: COLT | Sire: CAMELOT (GB) | Dam: LADY ADELAIDE (IRE) | Trainer: Roger Teal)
DOCKLANDS (GB) (Rank: 13 | Flat Rating: 118 | Year: 2020 | Sex: COLT | Sire: MASSAAT (IRE) | Dam: ICKY WOO (GB) | Trainer: Harry Eustace)
GHOSTWRITER (IRE) (Rank: 14 | Flat Rating: 118 | Year: 2021 | Sex: COLT | Sire: INVINCIBLE SPIRIT (IRE) | Dam: MOORSIDE (GB) | Trainer: Kevin Philippart de Foy)
LEAD ARTIST (GB) (Rank: 15 | Flat Rating: 118 | Year: 2021 | Sex: COLT | Sire: DUBAWI (IRE) | Dam: OBLIGATE (GB) | Trainer: )
ZAVATERI (IRE) (Rank: 16 | Flat Rating: 118 | Year: 2023 | Sex: COLT | Sire: WITHOUT PAROLE (GB) | Dam: ZEROUA (FR) | Trainer: Eve Johnson Houghton)
